App,Rating,Reviews,Size,Installs,Price,Content Rating,Subscription_Type,Year,Month,Day,Application_Type,Android_version,Primary_Application_Type
Add Text To Photo,4.1,21578,1.6,1000000,0.0,Everyone,0,2017,9,8,Photography,2.3 and up,Photography
Phonto - Text on Photos,4.3,307453,17000.0,10000000,0.0,Everyone,0,2017,10,26,Photography,4.0.3 and up,Photography
Collage&Add Stickers papelook,4.0,32896,31000.0,5000000,0.0,Everyone,0,2018,3,14,Photography,2.3.3 and up,Photography
"Shutterfly: Free Prints, Photo Books, Cards, Gifts",4.6,98717,59000.0,5000000,0.0,Everyone,0,2018,8,1,Photography,5.0 and up,Photography
Photo Collage - InstaMag,4.3,542561,46000.0,10000000,0.0,Everyone,0,2018,1,2,Photography,4.0 and up,Photography
BeautyPlus - Easy Photo Editor & Selfie Camera,4.4,3158151,53000.0,100000000,0.0,Everyone,0,2018,7,31,Photography,4.1 and up,Photography
"Meitu – Beauty Cam, Easy Photo Editor",4.5,462702,45000.0,10000000,0.0,Everyone,0,2018,8,1,Photography,4.3 and up,Photography
ESPN,4.2,521138,13000.0,10000000,0.0,Everyone 10+,0,2018,7,19,Sports,5.0 and up,Sports
Free Sports TV,4.3,1802,9.8,100000,0.0,Everyone,0,2018,6,21,Sports,4.0.3 and up,Sports
LiveScore: Live Sport Updates,4.4,283662,13000.0,10000000,0.0,Everyone,0,2018,6,15,Sports,4.1 and up,Sports
"theScore: Live Sports Scores, News, Stats & Videos",4.4,133825,34000.0,10000000,0.0,Everyone 10+,0,2018,7,25,Sports,4.4 and up,Sports
Onefootball - Soccer Scores,4.7,911995,20000.0,10000000,0.0,Everyone,0,2018,8,1,Sports,4.4 and up,Sports
Cristiano Ronaldo Wallpaper,4.6,1733,19000.0,500000,0.0,Everyone,0,2018,7,17,Sports,4.1 and up,Sports
"FIFA - Tournaments, Soccer News & Live Scores",4.2,342909,6.0,10000000,0.0,Everyone,0,2018,8,3,Sports,4.4 and up,Sports
kicker football news,4.3,56270,15000.0,5000000,0.0,Everyone,0,2018,8,3,Sports,5.0 and up,Sports
Football Live Scores,4.5,107724,6.5,5000000,0.0,Everyone,0,2018,7,31,Sports,4.0 and up,Sports
Pro 2018 - Series A and B,4.6,101455,6.2,5000000,0.0,Everyone,0,2018,8,3,Sports,4.0.3 and up,Sports
"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91031,13000.0,5000000,0.0,Everyone,0,2018,8,4,Sports,5.0 and up,Sports
MARCA - Sports Leader Diary,3.9,76346,14000.0,5000000,0.0,Everyone,0,2018,7,25,Sports,4.1 and up,Sports
"Foot Mercato: transfers, results, news, live",4.3,39878,6.1,1000000,0.0,Everyone,0,2018,7,28,Sports,4.1 and up,Sports
All Football - Latest News & Videos,4.6,152867,17000.0,10000000,0.0,Everyone,0,2018,8,3,Sports,4.1 and up,Sports
Premier League - Official App,4.3,63580,24000.0,5000000,0.0,Everyone,0,2018,7,20,Sports,4.1 and up,Sports
beIN SPORTS TR,4.0,135763,13000.0,10000000,0.0,Everyone,0,2018,8,2,Sports,4.1 and up,Sports
ESPN Fantasy Sports,4.0,176448,10000.0,5000000,0.0,Everyone,0,2017,11,21,Sports,4.4 and up,Sports
"All Football GO- Live Score, Games",4.6,1981,10000.0,100000,0.0,Everyone,0,2018,6,21,Sports,4.1 and up,Sports
Top Mercato: football news,4.3,16016,6.9,1000000,0.0,Everyone,0,2016,1,7,Sports,4.2 and up,Sports
GollerCepte Live Score,4.2,9992,31000.0,1000000,0.0,Everyone,0,2018,5,23,Sports,4.1 and up,Sports
Hovercraft Racer,4.0,218,28000.0,100000,0.0,Everyone,0,2018,7,19,Sports,4.1 and up,Sports
World Cup 2018,4.6,4011,2.6,500000,0.0,Teen,0,2018,7,1,Sports,2.3 and up,Sports
GollerCepte 1903,4.7,25172,30000.0,500000,0.0,Everyone,0,2018,5,23,Sports,4.1 and up,Sports
League18,4.3,14123,13000.0,500000,0.0,Everyone,0,2018,8,1,Sports,4.0 and up,Sports
Speed Boat Racing,4.0,2487,27000.0,1000000,0.0,Everyone,0,2018,8,3,Sports,4.0.3 and up,Sports
La Liga - Spanish Soccer League Official,4.5,180938,29000.0,10000000,0.0,Everyone,0,2018,7,24,Sports,4.0.3 and up,Sports
Lionel Messi Wallpapers,4.7,950,18000.0,100000,0.0,Everyone,0,2018,7,17,Sports,4.1 and up,Sports
Goal Live Scores,4.4,232423,35000.0,5000000,0.0,Everyone,0,2018,6,11,Sports,4.0.3 and up,Sports
The 5th Stand,4.8,1664,17000.0,100000,0.0,Everyone,0,2018,7,31,Sports,4.4 and up,Sports
U + professional baseball,4.3,2486,18000.0,500000,0.0,Everyone,0,2018,7,30,Sports,4.4 and up,Sports
Mercato foot by Maxifoot,4.4,697,3.0,100000,0.0,Everyone,0,2017,3,16,Sports,4.1 and up,Sports
MLB Ballpark,3.9,5510,32000.0,1000000,0.0,Everyone,0,2018,7,16,Sports,4.2 and up,Sports
MUTV - Manchester United TV,4.4,4549,24000.0,500000,0.0,Everyone,0,2018,8,1,Sports,4.1 and up,Sports
"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91031,13000.0,5000000,0.0,Everyone,0,2018,8,4,Sports,5.0 and up,Sports
ESPN,4.2,521138,13000.0,10000000,0.0,Everyone 10+,0,2018,7,19,Sports,5.0 and up,Sports
ESPN Fantasy Sports,4.0,176448,10000.0,5000000,0.0,Everyone,0,2017,11,21,Sports,4.4 and up,Sports
"theScore: Live Sports Scores, News, Stats & Videos",4.4,133825,34000.0,10000000,0.0,Everyone 10+,0,2018,7,25,Sports,4.4 and up,Sports
"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91031,13000.0,5000000,0.0,Everyone,0,2018,8,4,Sports,5.0 and up,Sports
WatchESPN,4.1,288809,6.6,10000000,0.0,Everyone,0,2017,9,27,Sports,4.4 and up,Sports
CBS Sports Fantasy,4.0,43611,27000.0,1000000,0.0,Everyone,0,2018,6,27,Sports,5.0 and up,Sports
ESPN,4.2,521138,13000.0,10000000,0.0,Everyone 10+,0,2018,7,19,Sports,5.0 and up,Sports
"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91031,13000.0,5000000,0.0,Everyone,0,2018,8,4,Sports,5.0 and up,Sports
NBC Sports,3.1,78442,25000.0,5000000,0.0,Everyone,0,2018,6,22,Sports,4.1 and up,Sports
WatchESPN,4.1,288809,6.6,10000000,0.0,Everyone,0,2017,9,27,Sports,4.4 and up,Sports
NBC Sports Gold,2.9,3017,24000.0,100000,0.0,Everyone,0,2018,7,2,Sports,4.1 and up,Sports
Telemundo Deportes - Live,4.5,36255,25000.0,1000000,0.0,Everyone,0,2018,8,1,Sports,4.1 and up,Sports
SwingAid - Level up Golf,4.3,752,33000.0,100000,0.0,Everyone,0,2018,7,10,Sports,4.1 and up,Sports
Golf Channel,4.1,19230,88000.0,1000000,0.0,Everyone,0,2018,5,30,Sports,4.1 and up,Sports
The Rules of Golf,4.3,926,9.3,100000,0.0,Everyone,0,2018,1,17,Sports,4.1 and up,Sports
Golf GPS by SwingxSwing,4.6,37167,13000.0,1000000,0.0,Everyone,0,2018,7,30,Sports,4.4 and up,Sports
Zepp Golf Swing Analyzer,4.4,2020,84000.0,100000,0.0,Everyone,0,2018,5,24,Sports,5.0 and up,Sports
Live Golf Scores - US & European Golf,4.2,798,4.7,50000,0.0,Everyone 10+,0,2018,8,1,Sports,4.0 and up,Sports
Golfshot: Golf GPS + Tee Times,4.3,7543,25000.0,500000,0.0,Everyone,0,2018,7,11,Sports,4.1 and up,Sports
PGA TOUR LIVE,3.4,1845,12000.0,100000,0.0,Everyone,0,2017,6,7,Sports,4.2 and up,Sports
Mobitee GPS Golf Free,4.2,1904,9.9,100000,0.0,Everyone,0,2018,6,11,Sports,2.3 and up,Sports
GolfLogix GPS + Putt Breaks,4.0,11085,61000.0,1000000,0.0,Everyone,0,2018,6,21,Sports,4.0.3 and up,Sports
Golfshot Plus: Golf GPS,4.1,3387,25000.0,50000,29.99,Everyone,1,2018,7,11,Sports,4.1 and up,Sports
PGA TOUR,4.0,11151,52000.0,1000000,0.0,Everyone,0,2018,6,27,Sports,5.0 and up,Sports
FanDuel: Daily Fantasy Sports,4.6,29673,57000.0,1000000,0.0,Mature 17+,0,2018,8,6,Sports,5.0 and up,Sports
DraftKings - Daily Fantasy Sports,4.5,50017,41000.0,1000000,0.0,Adults only 18+,0,2018,7,24,Sports,4.4 and up,Sports
Fantasy Football Manager (FPL),4.4,63650,4.6,1000000,0.0,Everyone,0,2018,8,3,Sports,4.1 and up,Sports
ESPN Fantasy Sports,4.0,176450,10000.0,5000000,0.0,Everyone,0,2017,11,21,Sports,4.4 and up,Sports
Fantasy Football,3.5,50179,23000.0,1000000,0.0,Everyone,0,2018,8,2,Sports,5.0 and up,Sports
CBS Sports Fantasy,4.0,43611,27000.0,1000000,0.0,Everyone,0,2018,6,27,Sports,5.0 and up,Sports
ESPN,4.2,521140,13000.0,10000000,0.0,Everyone 10+,0,2018,7,19,Sports,5.0 and up,Sports
US Open Tennis Championships 2018,4.0,9971,33000.0,1000000,0.0,Everyone,0,2018,6,5,Sports,5.0 and up,Sports
Live Tennis Rankings / LTR,4.8,1660,4.7,10000,0.0,Everyone,0,2018,6,5,Sports,4.0.3 and up,Sports
Tennis Livescore Widget,4.1,361,2.2,50000,0.0,Everyone,0,2016,10,13,Sports,2.3 and up,Sports
"The Championships, Wimbledon 2018",4.3,24082,95000.0,1000000,0.0,Everyone,0,2018,7,4,Sports,4.4 and up,Sports
"theScore: Live Sports Scores, News, Stats & Videos",4.4,133833,34000.0,10000000,0.0,Everyone 10+,0,2018,7,25,Sports,4.4 and up,Sports
"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91033,13000.0,5000000,0.0,Everyone,0,2018,8,4,Sports,5.0 and up,Sports
Tennis 24 - tennis live scores,4.6,990,9.4,100000,0.0,Everyone,0,2018,7,18,Sports,4.1 and up,Sports
"Yahoo Sports - scores, stats, news, & highlights",4.5,32386,19000.0,1000000,0.0,Everyone,0,2018,8,1,Sports,5.1 and up,Sports
Tennis News and Scores,4.3,101,3.9,10000,0.0,Everyone,0,2018,7,15,Sports,4.1 and up,Sports
ESPN,4.2,521140,13000.0,10000000,0.0,Everyone 10+,0,2018,7,19,Sports,5.0 and up,Sports
"theScore: Live Sports Scores, News, Stats & Videos",4.4,133833,34000.0,10000000,0.0,Everyone 10+,0,2018,7,25,Sports,4.4 and up,Sports
"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91033,13000.0,5000000,0.0,Everyone,0,2018,8,4,Sports,5.0 and up,Sports
MSN Sports - Scores & Schedule,4.5,35394,21000.0,500000,0.0,Everyone,0,2018,7,5,Sports,4.2 and up,Sports
"Yahoo Sports - scores, stats, news, & highlights",4.5,32386,19000.0,1000000,0.0,Everyone,0,2018,8,1,Sports,5.1 and up,Sports
WatchESPN,4.1,288809,6.6,10000000,0.0,Everyone,0,2017,9,27,Sports,4.4 and up,Sports
"FOX Sports: Live Streaming, Scores & News",4.0,28895,82000.0,5000000,0.0,Teen,0,2018,8,2,Sports,5.0 and up,Sports
ESPN,4.2,521140,13000.0,10000000,0.0,Everyone 10+,0,2018,7,19,Sports,5.0 and up,Sports
NCAA March Madness Live,4.1,34123,19000.0,5000000,0.0,Everyone,0,2018,3,30,Sports,5.0 and up,Sports
SportsManias Fantasy Team News,3.5,4057,26000.0,500000,0.0,Everyone,0,2018,5,10,Sports,4.0.3 and up,Sports
Thuuz Sports,4.5,5517,5.2,500000,0.0,Everyone,0,2018,4,3,Sports,2.3 and up,Sports
NCAA Sports,3.9,4272,16000.0,500000,0.0,Everyone,0,2018,4,23,Sports,4.1 and up,Sports
US Open Tennis Championships 2018,4.0,9971,33000.0,1000000,0.0,Everyone,0,2018,6,5,Sports,5.0 and up,Sports
"FIFA - Tournaments, Soccer News & Live Scores",4.2,342912,6.0,10000000,0.0,Everyone,0,2018,8,3,Sports,4.4 and up,Sports
365Scores - Live Scores,4.6,666521,25000.0,10000000,0.0,Everyone,0,2018,7,29,Sports,4.1 and up,Sports
"theScore: Live Sports Scores, News, Stats & Videos",4.4,133833,34000.0,10000000,0.0,Everyone 10+,0,2018,7,25,Sports,4.4 and up,Sports
Fantasy Football & NFL News,4.5,2943,8.1,100000,0.0,Everyone,0,2018,5,15,Sports,2.3.3 and up,Sports
NBA,4.4,108318,35000.0,10000000,0.0,Everyone,0,2018,7,9,Sports,4.4 and up,Sports
Golfshot: Golf GPS + Tee Times,4.3,7543,25000.0,500000,0.0,Everyone,0,2018,7,11,Sports,4.1 and up,Sports
"CBS Sports App - Scores, News, Stats & Watch Live",4.3,91033,13000.0,5000000,0.0,Everyone,0,2018,8,4,Sports,5.0 and up,Sports
"Yahoo Sports - scores, stats, news, & highlights",4.5,32386,19000.0,1000000,0.0,Everyone,0,2018,8,1,Sports,5.1 and up,Sports
NHL,4.0,68935,48000.0,5000000,0.0,Everyone,0,2018,6,27,Sports,4.2 and up,Sports
NASCAR MOBILE,4.2,80900,21000.0,1000000,0.0,Everyone,0,2018,7,25,Sports,4.4 and up,Sports
WatchESPN,4.1,288809,6.6,10000000,0.0,Everyone,0,2017,9,27,Sports,4.4 and up,Sports
MLB Ballpark,3.9,5511,32000.0,1000000,0.0,Everyone,0,2018,7,16,Sports,4.2 and up,Sports
"FOX Sports: Live Streaming, Scores & News",4.0,28895,82000.0,5000000,0.0,Teen,0,2018,8,2,Sports,5.0 and up,Sports
Fantasy Football,3.5,50179,23000.0,1000000,0.0,Everyone,0,2018,8,2,Sports,5.0 and up,Sports
PGA TOUR,4.0,11151,52000.0,1000000,0.0,Everyone,0,2018,6,27,Sports,5.0 and up,Sports
"Expedia Hotels, Flights & Car Rental Travel Deals",4.1,136626,14000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,5.0 and up,Travel & Local
Hopper - Watch & Book Flights,4.4,52029,13000.0,5000000,0.0,Everyone,0,2018,6,29,Travel & Local,5.0 and up,Travel & Local
TripIt: Travel Organizer,4.4,49190,25000.0,1000000,0.0,Everyone,0,2018,6,15,Travel & Local,5.0 and up,Travel & Local
CityMaps2Go Plan Trips Travel Guide Offline Maps,4.3,64713,58000.0,1000000,0.0,Everyone,0,2018,6,9,Travel & Local,5.0 and up,Travel & Local
Skyscanner,4.5,481545,29000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,4.4 and up,Travel & Local
World Travel Guide by Triposo,4.4,6012,81000.0,500000,0.0,Everyone,0,2018,3,5,Travel & Local,4.0.3 and up,Travel & Local
Hostelworld: Hostels & Cheap Hotels Travel App,4.4,17878,28000.0,1000000,0.0,Everyone,0,2018,7,16,Travel & Local,4.1 and up,Travel & Local
Google Trips - Travel Planner,4.1,26871,13000.0,5000000,0.0,Everyone,0,2018,7,26,Travel & Local,4.1 and up,Travel & Local
GPS Map Free,4.0,33782,7.6,5000000,0.0,Everyone,0,2018,7,11,Travel & Local,4.0 and up,Travel & Local
Offline Maps & Navigation,4.7,192641,33000.0,5000000,0.0,Everyone,0,2018,6,7,Travel & Local,4.0.3 and up,Travel & Local
Google Earth,4.3,2338655,13000.0,100000000,0.0,Everyone,0,2018,6,18,Travel & Local,4.1 and up,Travel & Local
GasBuddy: Find Cheap Gas,4.6,751551,42000.0,10000000,0.0,Mature 17+,0,2018,8,2,Travel & Local,4.4 and up,Travel & Local
Southwest Airlines,3.9,24781,8.3,5000000,0.0,Everyone,0,2018,7,11,Travel & Local,6.0 and up,Travel & Local
"AT&T Navigator: Maps, Traffic",3.6,32862,14000.0,10000000,0.0,Everyone,0,2016,12,6,Travel & Local,4.1 and up,Travel & Local
VZ Navigator,4.0,16101,13000.0,50000000,0.0,Everyone,0,2018,1,22,Travel & Local,4.2 and up,Travel & Local
AirAsia,3.9,98585,37000.0,10000000,0.0,Everyone,0,2018,7,16,Travel & Local,4.4 and up,Travel & Local
"Expedia Hotels, Flights & Car Rental Travel Deals",4.1,136633,14000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,5.0 and up,Travel & Local
Goibibo - Flight Hotel Bus Car IRCTC Booking App,4.3,459851,13000.0,10000000,0.0,Everyone,0,2018,8,1,Travel & Local,4.3 and up,Travel & Local
Allegiant,3.1,5572,21000.0,1000000,0.0,Everyone,0,2018,7,12,Travel & Local,4.4 and up,Travel & Local
Amtrak,3.7,16815,28000.0,1000000,0.0,Everyone,0,2018,7,15,Travel & Local,5.0 and up,Travel & Local
JAL (Domestic and international flights),3.4,2277,27000.0,1000000,0.0,Everyone,0,2018,5,7,Travel & Local,4.0.3 and up,Travel & Local
Flight & Hotel Booking App - ixigo,4.4,45562,13000.0,5000000,0.0,Everyone,0,2018,7,30,Travel & Local,4.1 and up,Travel & Local
VZ Navigator for Tablets,3.6,285,39000.0,500000,0.0,Everyone,0,2018,1,22,Travel & Local,4.2 and up,Travel & Local
"HSL - Tickets, route planner and information",3.3,256,17000.0,100000,0.0,Everyone,0,2018,8,1,Travel & Local,5.0 and up,Travel & Local
VZ Navigator for Galaxy S4,3.0,2750,39000.0,5000000,0.0,Everyone,0,2018,1,22,Travel & Local,4.2 and up,Travel & Local
MAIN,3.6,7081,51000.0,1000000,0.0,Everyone,0,2018,8,6,Travel & Local,4.4 and up,Travel & Local
"Yoriza Pension - travel, lodging, pension, camping, caravan, pool villas accommodation discount",4.8,17882,86000.0,1000000,0.0,Everyone,0,2018,8,3,Travel & Local,5.0 and up,Travel & Local
PagesJaunes - local search,3.8,43935,13000.0,10000000,0.0,Everyone,0,2018,8,1,Travel & Local,5.0 and up,Travel & Local
"Yatra - Flights, Hotels, Bus, Trains & Cabs",4.5,251037,26000.0,10000000,0.0,Everyone,0,2018,8,5,Travel & Local,4.1 and up,Travel & Local
Fly Delta,3.7,27560,46000.0,5000000,0.0,Everyone,0,2018,7,31,Travel & Local,5.0 and up,Travel & Local
Skyscanner,4.5,481546,29000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,4.4 and up,Travel & Local
Despegar.com Hotels and Flights,4.4,150932,27000.0,10000000,0.0,Everyone,0,2018,7,30,Travel & Local,4.1 and up,Travel & Local
Navigation Plus,4.1,928,14000.0,1000000,0.0,Everyone,0,2018,1,9,Travel & Local,4.1 and up,Travel & Local
Poynt,4.0,26665,10000.0,5000000,0.0,Everyone,0,2018,3,29,Travel & Local,4.1 and up,Travel & Local
Gaode Map,3.9,13275,71000.0,1000000,0.0,Everyone,0,2018,7,3,Travel & Local,4.0 and up,Travel & Local
"Priceline Hotel Deals, Rental Cars & Flights",4.4,48930,15000.0,5000000,0.0,Everyone,0,2018,7,26,Travel & Local,4.4 and up,Travel & Local
Free Radar Detector,4.3,15680,11000.0,1000000,0.0,Everyone,0,2018,7,6,Travel & Local,4.1 and up,Travel & Local
Where to travel - ticket. hotel. train ticket. car ticket. travel. tickets,4.2,5112,62000.0,1000000,0.0,Everyone,0,2018,7,27,Travel & Local,4.4 and up,Travel & Local
United Airlines,3.5,30447,80000.0,5000000,0.0,Everyone,0,2018,7,20,Travel & Local,5.0 and up,Travel & Local
NTES,4.3,165299,5.4,10000000,0.0,Everyone,0,2018,7,30,Travel & Local,4.1 and up,Travel & Local
Where is my Train : Indian Railway & PNR Status,4.7,620534,9.8,10000000,0.0,Everyone,0,2018,7,30,Travel & Local,4.0.3 and up,Travel & Local
MakeMyTrip-Flight Hotel Bus Cab IRCTC Rail Booking,4.3,599872,13000.0,10000000,0.0,Everyone,0,2018,8,4,Travel & Local,4.4 and up,Travel & Local
Gormey: Find Best Restaurants,4.3,34,7.6,1000,0.0,Everyone,0,2017,8,29,Travel & Local,4.0.3 and up,Travel & Local
Find Dining Restaurant Finder,4.1,427,26000.0,100000,0.0,Everyone,0,2016,3,21,Travel & Local,4.1 and up,Travel & Local
Urbanspoon Restaurant Reviews,4.2,35560,13000.0,5000000,0.0,Everyone,0,2016,7,5,Travel & Local,4.0.3 and up,Travel & Local
Qatar Airways,4.3,11182,62000.0,1000000,0.0,Everyone,0,2018,7,30,Travel & Local,4.1 and up,Travel & Local
Hipmunk Hotels & Flights,4.3,16734,10.0,1000000,0.0,Everyone,0,2018,7,31,Travel & Local,5.0 and up,Travel & Local
"Priceline Hotel Deals, Rental Cars & Flights",4.4,48930,15000.0,5000000,0.0,Everyone,0,2018,7,26,Travel & Local,4.4 and up,Travel & Local
United Airlines,3.5,30447,80000.0,5000000,0.0,Everyone,0,2018,7,20,Travel & Local,5.0 and up,Travel & Local
"Expedia Hotels, Flights & Car Rental Travel Deals",4.1,136626,14000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,5.0 and up,Travel & Local
CWT To Go,4.4,20313,57000.0,100000,0.0,Everyone,0,2018,8,5,Travel & Local,4.4 and up,Travel & Local
British Airways,4.2,25740,51000.0,1000000,0.0,Everyone,0,2018,7,24,Travel & Local,4.4 and up,Travel & Local
Southwest Airlines,3.9,24781,8.3,5000000,0.0,Everyone,0,2018,7,11,Travel & Local,6.0 and up,Travel & Local
Cheap Flights & Hotels momondo,4.2,42546,24000.0,5000000,0.0,Everyone,0,2018,4,25,Travel & Local,4.4 and up,Travel & Local
JetBlue,4.4,24281,29000.0,1000000,0.0,Everyone,0,2018,7,25,Travel & Local,4.4 and up,Travel & Local
Hopper - Watch & Book Flights,4.4,52028,13000.0,5000000,0.0,Everyone,0,2018,6,29,Travel & Local,5.0 and up,Travel & Local
Flights,4.4,18039,3.1,1000000,0.0,Everyone,0,2018,7,26,Travel & Local,4.1 and up,Travel & Local
Fly Delta,3.7,27560,46000.0,5000000,0.0,Everyone,0,2018,7,31,Travel & Local,5.0 and up,Travel & Local
The Emirates App,4.4,22748,55000.0,1000000,0.0,Everyone,0,2018,8,6,Travel & Local,5.0 and up,Travel & Local
KLM - Royal Dutch Airlines,3.7,7705,40000.0,1000000,0.0,Everyone,0,2018,8,6,Travel & Local,4.1 and up,Travel & Local
Skyscanner,4.5,481546,29000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,4.4 and up,Travel & Local
Lufthansa,3.6,14544,43000.0,1000000,0.0,Everyone,0,2018,7,27,Travel & Local,4.1 and up,Travel & Local
easyJet: Travel App,4.4,134895,50000.0,10000000,0.0,Everyone,0,2018,7,1,Travel & Local,4.2 and up,Travel & Local
IndiGo,4.0,48082,13000.0,5000000,0.0,Everyone,0,2018,7,25,Travel & Local,4.0.3 and up,Travel & Local
LateRooms: Find Hotel Deals,4.1,2419,13000.0,1000000,0.0,Everyone,0,2018,5,29,Travel & Local,4.1 and up,Travel & Local
"Priceline Hotel Deals, Rental Cars & Flights",4.4,48930,15000.0,5000000,0.0,Everyone,0,2018,7,26,Travel & Local,4.4 and up,Travel & Local
HOTEL DEALS,4.2,1609,4.0,100000,0.0,Everyone,0,2018,4,26,Travel & Local,4.1 and up,Travel & Local
"Expedia Hotels, Flights & Car Rental Travel Deals",4.1,136626,14000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,5.0 and up,Travel & Local
Skyscanner,4.5,481546,29000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,4.4 and up,Travel & Local
IHG®: Hotel Deals & Rewards,4.3,18622,44000.0,1000000,0.0,Everyone,0,2018,8,3,Travel & Local,4.4 and up,Travel & Local
SPG: Starwood Hotels & Resorts,4.2,8258,22000.0,1000000,0.0,Everyone,0,2018,7,3,Travel & Local,4.4 and up,Travel & Local
Hostelworld: Hostels & Cheap Hotels Travel App,4.4,17878,28000.0,1000000,0.0,Everyone,0,2018,7,16,Travel & Local,4.1 and up,Travel & Local
Hotels Combined - Cheap deals,4.1,17202,12000.0,5000000,0.0,Everyone,0,2017,11,13,Travel & Local,4.1 and up,Travel & Local
Turo - Better Than Car Rental,4.4,14114,46000.0,1000000,0.0,Everyone,0,2018,8,4,Travel & Local,5.0 and up,Travel & Local
Ascape VR: 360° Virtual Travel,4.1,890,7.6,100000,0.0,Everyone,0,2017,8,9,Travel & Local;Action & Adventure,4.4 and up,Travel & Local
Skyscanner,4.5,481546,29000.0,10000000,0.0,Everyone,0,2018,8,6,Travel & Local,4.4 and up,Travel & Local
GPS Status & Toolbox,4.5,149723,4.1,10000000,0.0,Everyone,0,2018,6,13,Travel & Local,4.0 and up,Travel & Local
Airport + Flight Tracker Radar,4.2,6762,8.5,1000000,0.0,Everyone,0,2015,7,14,Travel & Local,4.0 and up,Travel & Local
Scout GPS Navigation & Meet Up,4.2,120373,31000.0,5000000,0.0,Everyone,0,2018,7,31,Travel & Local,4.0.3 and up,Travel & Local
Street Panorama View,4.2,40225,4.1,1000000,0.0,Everyone,0,2018,7,18,Travel & Local,4.1 and up,Travel & Local
DreamTrips,4.7,9971,22000.0,500000,0.0,Teen,0,2018,8,6,Travel & Local,5.0 and up,Travel & Local
Sygic Truck GPS Navigation,4.2,18294,28000.0,1000000,0.0,Everyone,0,2018,8,2,Travel & Local,4.0 and up,Travel & Local
Moto File Manager,4.1,38655,5.9,10000000,0.0,Everyone,0,2018,2,1,Tools,5.0 and up,Tools
Motorola Alert,4.2,24199,3.9,50000000,0.0,Everyone,0,2014,11,21,Tools,4.4 and up,Tools
Cache Cleaner-DU Speed Booster (booster & cleaner),4.5,12759663,15000.0,100000000,0.0,Everyone,0,2018,7,25,Tools,4.0 and up,Tools
Moto Suggestions ™,4.6,308,4.3,1000000,0.0,Everyone,0,2018,6,8,Tools,8.0 and up,Tools
myMetro,4.0,26189,5.3,10000000,0.0,Everyone,0,2018,6,27,Tools,4.0 and up,Tools
My Telcel,3.1,45838,16000.0,50000000,0.0,Everyone,0,2018,7,25,Tools,4.1 and up,Tools
"Calculator - free calculator, multi calculator app",4.6,25592,7.5,10000000,0.0,Everyone,0,2018,7,31,Tools,4.2 and up,Tools
Android TV Remote Service,4.3,1,3.7,1000000,0.0,Everyone,0,2018,1,17,Tools,7.0 and up,Tools
"Calculator - free calculator ,multi calculator app",4.4,1236,5.8,100000,0.0,Everyone,0,2018,7,6,Tools,4.2 and up,Tools
SHAREit - Transfer & Share,4.6,7790693,17000.0,500000000,0.0,Everyone,0,2018,7,30,Tools,4.1 and up,Tools
Files Go by Google: Free up space on your phone,4.6,315585,8.5,10000000,0.0,Everyone,0,2018,7,18,Tools,5.0 and up,Tools
Nokia mobile support,4.4,12215,9.1,5000000,0.0,Everyone,0,2018,8,1,Tools,7.0 and up,Tools
File Manager -- Take Command of Your Files Easily,4.2,127223,7.6,10000000,0.0,Everyone,0,2018,8,3,Tools,5.0 and up,Tools
Samsung Calculator,4.4,9602,2.5,100000000,0.0,Everyone,0,2018,7,5,Tools,7.0 and up,Tools
Clear,3.1,24151,15000.0,10000000,0.0,Everyone,0,2018,8,6,Tools,4.1 and up,Tools
Google Korean Input,3.5,74819,13000.0,100000000,0.0,Everyone,0,2018,6,25,Tools,7.1 and up,Tools
AT&T Smart Wi-Fi,3.9,18513,6.1,10000000,0.0,Everyone,0,2018,4,26,Tools,4.1 and up,Tools
Sound Recorder: Recorder & Voice Changer Free,3.9,14552,17000.0,10000000,0.0,Everyone,0,2018,7,31,Tools,5.0 and up,Tools
TouchPal Keyboard for vivo,4.3,357,58000.0,1000000,0.0,Everyone,0,2018,5,30,Tools,4.0.3 and up,Tools
Google Assistant Go,3.7,315,4.6,500000,0.0,Everyone,0,2018,7,27,Tools,8.0 and up,Tools
My love,3.5,163997,16000.0,10000000,0.0,Everyone,0,2018,8,5,Tools,4.2 and up,Tools
DuraSpeed,3.8,5431,1.3,10000000,0.0,Everyone,0,2017,11,13,Tools,6.0 and up,Tools
HTC Sense Input-LV,3.6,59,2.3,50000,0.0,Everyone,0,2014,4,22,Tools,4.1 and up,Tools
